# Tag name          ;  color
FM                  ; #c0c0c0
PKP                 ; #c0c0c0
Policja             ; #c0c0c0
Untagged            ; #c0c0c0
70cm                ; #c0c0c0
C4FM                ; #c0c0c0
DMR                 ; #c0c0c0
Air Civ             ; #c0c0c0
Pogotowie           ; #c0c0c0
SP                  ; #c0c0c0
Air Mil             ; #c0c0c0
2m                  ; #c0c0c0
CB                  ; #ff0000
AmateurRadio        ; #00ff00
Untagged            ; #c0c0c0
FamilyRadio         ; #0000ff
MURS                ; #ffff00
AMRadio             ; #ff00ff
PublicService       ; #000000


# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
   118300000; EPWA TWR                 ; AM                  ;      10000; Air Civ
   168562500;                          ; Narrow FM           ;      10000; Pogotowie
   168575000;                          ; Narrow FM           ;      10000; Pogotowie
   168587500;                          ; Narrow FM           ;      10000; Pogotowie
   168600000;                          ; Narrow FM           ;      10000; Pogotowie
   168612500;                          ; Narrow FM           ;      10000; Pogotowie
   168625000;                          ; Narrow FM           ;      10000; Pogotowie
   168637500;                          ; Narrow FM           ;      10000; Pogotowie
   168650000;                          ; Narrow FM           ;      10000; Pogotowie
   168662500;                          ; Narrow FM           ;      10000; Pogotowie
   168675000;                          ; Narrow FM           ;      10000; Pogotowie
   168687500;                          ; Narrow FM           ;      10000; Pogotowie
   168700000;                          ; Narrow FM           ;      10000; Pogotowie
   168712500;                          ; Narrow FM           ;      10000; Pogotowie
   168725000;                          ; Narrow FM           ;      10000; Pogotowie
   168737500;                          ; Narrow FM           ;      10000; Pogotowie
   168750000;                          ; Narrow FM           ;      10000; Pogotowie
   168762500;                          ; Narrow FM           ;      10000; Pogotowie
   168775000;                          ; Narrow FM           ;      10000; Pogotowie
   168787500;                          ; Narrow FM           ;      10000; Pogotowie
   168800000;                          ; Narrow FM           ;      10000; Pogotowie
   168812500;                          ; Narrow FM           ;      10000; Pogotowie
   168825000;                          ; Narrow FM           ;      10000; Pogotowie
   168837500;                          ; Narrow FM           ;      10000; Pogotowie
   168850000;                          ; Narrow FM           ;      10000; Pogotowie
   168862500;                          ; Narrow FM           ;      10000; Pogotowie
   168875000;                          ; Narrow FM           ;      10000; Pogotowie
   168887500;                          ; Narrow FM           ;      10000; Pogotowie
   168900000;                          ; Narrow FM           ;      10000; Pogotowie
   168912500;                          ; Narrow FM           ;      10000; Pogotowie
   168925000;                          ; Narrow FM           ;      10000; Pogotowie
   168937500;                          ; Narrow FM           ;      10000; Pogotowie
   168950000;                          ; Narrow FM           ;      10000; Pogotowie
   168962500;                          ; Narrow FM           ;      10000; Pogotowie
   168975000;                          ; Narrow FM           ;      10000; Pogotowie
   168987500;                          ; Narrow FM           ;      10000; Pogotowie
   169000000;                          ; Narrow FM           ;      10000; Pogotowie
   169012500;                          ; Narrow FM           ;      10000; Pogotowie
   169025000;                          ; Narrow FM           ;      10000; Pogotowie
   169037500;                          ; Narrow FM           ;      10000; Pogotowie
   169050000;                          ; Narrow FM           ;      10000; Pogotowie
   169062500;                          ; Narrow FM           ;      10000; Pogotowie
   169075000;                          ; Narrow FM           ;      10000; Pogotowie
   169087500;                          ; Narrow FM           ;      10000; Pogotowie
   169100000;                          ; Narrow FM           ;      10000; Pogotowie
   169112500;                          ; Narrow FM           ;      10000; Pogotowie
   169125000;                          ; Narrow FM           ;      10000; Pogotowie
   169137500;                          ; Narrow FM           ;      10000; Pogotowie
   169150000;                          ; Narrow FM           ;      10000; Pogotowie
   172025000; A01                      ; Narrow FM           ;      10000; Policja
   172050000; A02                      ; Narrow FM           ;      10000; Policja
   172075000; A03                      ; Narrow FM           ;      10000; Policja
   172100000; A04                      ; Narrow FM           ;      10000; Policja
   172125000; A05                      ; Narrow FM           ;      10000; Policja
   172150000; A06                      ; Narrow FM           ;      10000; Policja
   172175000; A07                      ; Narrow FM           ;      10000; Policja
   172200000; A08                      ; Narrow FM           ;      10000; Policja
   172225000; A09                      ; Narrow FM           ;      10000; Policja
   172250000; A10                      ; Narrow FM           ;      10000; Policja
   172275000; A11                      ; Narrow FM           ;      10000; Policja
   172300000; A12                      ; Narrow FM           ;      10000; Policja
   172325000; A13                      ; Narrow FM           ;      10000; Policja
   172350000; A14                      ; Narrow FM           ;      10000; Policja
   172375000; A15                      ; Narrow FM           ;      10000; Policja
   172400000; A16                      ; Narrow FM           ;      10000; Policja
   172425000; A17                      ; Narrow FM           ;      10000; Policja
   172450000; A18                      ; Narrow FM           ;      10000; Policja
   172475000; A19                      ; Narrow FM           ;      10000; Policja
   172500000; A20                      ; Narrow FM           ;      10000; Policja
   172525000; A21 M-Maz                ; Narrow FM           ;      10000; Policja
   172550000; A22 M-Maz, Sulejówek     ; Narrow FM           ;      10000; Policja
   172575000; A23                      ; Narrow FM           ;      10000; Policja
   172600000; A24                      ; Narrow FM           ;      10000; Policja
   172625000; A25                      ; Narrow FM           ;      10000; Policja
   172650000; A26                      ; Narrow FM           ;      10000; Policja
   172675000; A27                      ; Narrow FM           ;      10000; Policja
   172700000; A28                      ; Narrow FM           ;      10000; Policja
   172725000; A29                      ; Narrow FM           ;      10000; Policja
   172750000; A30                      ; Narrow FM           ;      10000; Policja
   172775000; A31                      ; Narrow FM           ;      10000; Policja
   172800000; A32                      ; Narrow FM           ;      10000; Policja
   172825000; A33                      ; Narrow FM           ;      10000; Policja
   172850000; A34                      ; Narrow FM           ;      10000; Policja
   172875000; A35                      ; Narrow FM           ;      10000; Policja
   172900000; A36                      ; Narrow FM           ;      10000; Policja
   172925000; A37                      ; Narrow FM           ;      10000; Policja
   172950000; A38                      ; Narrow FM           ;      10000; Policja
   172975000; A39                      ; Narrow FM           ;      10000; Policja
   173000000; A40                      ; Narrow FM           ;      10000; Policja
   173025000; A41                      ; Narrow FM           ;      10000; Policja
   173050000; A42                      ; Narrow FM           ;      10000; Policja
   173075000; A43                      ; Narrow FM           ;      10000; Policja
   173100000; A44                      ; Narrow FM           ;      10000; Policja
   173125000; A45                      ; Narrow FM           ;      10000; Policja
   173150000; A46                      ; Narrow FM           ;      10000; Policja
   173175000; A47                      ; Narrow FM           ;      10000; Policja
   173200000; A48 Siedlce              ; Narrow FM           ;      10000; Policja
   173225000; A49                      ; Narrow FM           ;      10000; Policja
   173250000; A50                      ; Narrow FM           ;      10000; Policja
   173275000; A51                      ; Narrow FM           ;      10000; Policja
   173300000; A52                      ; Narrow FM           ;      10000; Policja
   173325000; A53                      ; Narrow FM           ;      10000; Policja
   173350000; A54                      ; Narrow FM           ;      10000; Policja
   173375000; A55                      ; Narrow FM           ;      10000; Policja
   173400000; A56                      ; Narrow FM           ;      10000; Policja
   173425000; A57                      ; Narrow FM           ;      10000; Policja
   173450000; A58                      ; Narrow FM           ;      10000; Policja
   173475000; A59                      ; Narrow FM           ;      10000; Policja
   173500000; A60                      ; Narrow FM           ;      10000; Policja
   173525000; A61                      ; Narrow FM           ;      10000; Policja
   173550000; A62                      ; Narrow FM           ;      10000; Policja
   173575000; A63                      ; Narrow FM           ;      10000; Policja
   173600000; A64                      ; Narrow FM           ;      10000; Policja
   173625000; A65                      ; Narrow FM           ;      10000; Policja
   173650000; A66                      ; Narrow FM           ;      10000; Policja
   173675000; A67                      ; Narrow FM           ;      10000; Policja
   173700000; A68                      ; Narrow FM           ;      10000; Policja
   173725000; A69                      ; Narrow FM           ;      10000; Policja
   173750000; A70                      ; Narrow FM           ;      10000; Policja
   173775000; A71                      ; Narrow FM           ;      10000; Policja
   173800000; A72                      ; Narrow FM           ;      10000; Policja
   173825000; A73                      ; Narrow FM           ;      10000; Policja
   173850000; A74                      ; Narrow FM           ;      10000; Policja
   173875000; A75                      ; Narrow FM           ;      10000; Policja
   173900000; A76                      ; Narrow FM           ;      10000; Policja
   173925000; A77                      ; Narrow FM           ;      10000; Policja
   173950000; A78                      ; Narrow FM           ;      10000; Policja
   173975000; A79                      ; Narrow FM           ;      10000; Policja
   174000000; A80                      ; Narrow FM           ;      10000; Policja
   278575000; EPMM APP                 ; Narrow FM           ;      10000; Air Mil
   279075000; EPMM TWR                 ; Narrow FM           ;      10000; Air Mil
   438337500; SR5WAD                   ; Narrow FM           ;      10000; 70cm,DMR
   438462500; SR5WWL                   ; Narrow FM           ;      10000; 70cm
   438500000; SR5WW                    ; Narrow FM           ;      10000; 70cm,C4FM
   438550000; SR5WB                    ; Narrow FM           ;      10000; 70cm,DMR
   438775000; SR5WU                    ; Narrow FM           ;      10000; 70cm,DMR
   438887500; SR5MDV                   ; Narrow FM           ;      10000; 70cm,DMR
   438900000; SR5WI                    ; Narrow FM           ;      10000; 70cm,C4FM
   438950000; SR5MM                    ; Narrow FM           ;      10000; 70cm,FM
   439000000; SR5WZ                    ; Narrow FM           ;      10000; 70cm,FM
   439250000; SR5ZIP                   ; Narrow FM           ;      10000; 70cm,FM
   439275000; SR5RR                    ; Narrow FM           ;      10000; 70cm,FM
   439425000; SR5ND                    ; Narrow FM           ;      10000; 70cm,FM
   439537500; SR0DZ                    ; Narrow FM           ;      10000; 70cm,FM
    26965000; CB01                     ; AM                  ;      10000; CB
    26975000; CB02                     ; AM                  ;      10000; CB
    26985000; CB03                     ; AM                  ;      10000; CB
    27005000; CB04                     ; AM                  ;      10000; CB
    27015000; CB05                     ; AM                  ;      10000; CB
    27025000; CB06                     ; AM                  ;      10000; CB
    27035000; CB07                     ; AM                  ;      10000; CB
    27055000; CB08                     ; AM                  ;      10000; CB
    27065000; CB09                     ; AM                  ;      10000; CB
    27075000; CB10                     ; AM                  ;      10000; CB
    27085000; CB11                     ; AM                  ;      10000; CB
    27105000; CB12                     ; AM                  ;      10000; CB
    27115000; CB13                     ; AM                  ;      10000; CB
    27125000; CB14                     ; AM                  ;      10000; CB
    27135000; CB15                     ; AM                  ;      10000; CB
    27155000; CB16                     ; AM                  ;      10000; CB
    27165000; CB17                     ; AM                  ;      10000; CB
    27175000; CB18                     ; AM                  ;      10000; CB
    27185000; CB19                     ; AM                  ;      10000; CB
    27205000; CB20                     ; AM                  ;      10000; CB
    27215000; CB21                     ; AM                  ;      10000; CB
    27225000; CB22                     ; AM                  ;      10000; CB
    27255000; CB23                     ; AM                  ;      10000; CB
    27235000; CB24                     ; AM                  ;      10000; CB
    27245000; CB25                     ; AM                  ;      10000; CB
    27265000; CB26                     ; AM                  ;      10000; CB
    27275000; CB27                     ; AM                  ;      10000; CB
    27285000; CB28                     ; AM                  ;      10000; CB
    27295000; CB29                     ; AM                  ;      10000; CB
    27305000; CB30                     ; AM                  ;      10000; CB
    27315000; CB31                     ; AM                  ;      10000; CB
    27325000; CB32                     ; AM                  ;      10000; CB
    27335000; CB33                     ; AM                  ;      10000; CB
    27345000; CB34                     ; AM                  ;      10000; CB
    27355000; CB35                     ; AM                  ;      10000; CB
    27365000; CB36                     ; AM                  ;      10000; CB
    27375000; CB37                     ; AM                  ;      10000; CB
    27385000; CB38                     ; AM                  ;      10000; CB
    27395000; CB39                     ; AM                  ;      10000; CB
    27405000; CB40                     ; AM                  ;      10000; CB
    87900000; 87.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88100000; 88.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88300000; 88.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88500000; 88.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88700000; 88.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88900000; 88.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89100000; 89.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89300000; 89.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89500000; 89.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89700000; 89.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89900000; 89.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90100000; 90.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90300000; 90.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90500000; 90.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90700000; 90.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90900000; 90.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91100000; 91.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91300000; 91.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91500000; 91.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91700000; 91.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91900000; 91.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92100000; 92.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92300000; 92.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92500000; 92.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92700000; 92.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92900000; 92.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93100000; 93.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93300000; 93.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93500000; 93.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93700000; 93.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93900000; 93.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94100000; 94.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94300000; 94.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94500000; 94.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94700000; 94.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94900000; 94.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95100000; 95.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95300000; 95.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95500000; 95.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95700000; 95.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95900000; 95.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96100000; 96.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96300000; 96.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96500000; 96.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96700000; 96.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96900000; 96.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97100000; 97.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97300000; 97.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97500000; 97.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97700000; 97.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97900000; 97.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98100000; 98.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98300000; 98.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98500000; 98.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98700000; 98.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98900000; 98.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99100000; 99.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99300000; 99.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99500000; 99.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99700000; 99.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99900000; 99.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
   100100000; 100.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   100300000; 100.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   100500000; 100.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   100700000; 100.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   100900000; 100.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101100000; 101.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101300000; 101.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101500000; 101.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101700000; 101.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101900000; 101.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102100000; 102.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102300000; 102.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102500000; 102.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102700000; 102.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102900000; 102.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103100000; 103.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103300000; 103.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103500000; 103.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103700000; 103.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103900000; 103.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104100000; 104.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104300000; 104.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104500000; 104.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104700000; 104.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104900000; 104.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105100000; 105.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105300000; 105.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105500000; 105.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105700000; 105.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105900000; 105.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106100000; 106.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106300000; 106.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106500000; 106.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106700000; 106.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106900000; 106.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   107100000; 107.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   107300000; 107.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   107500000; 107.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   107700000; 107.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   145290000; Amateur Radio Repeator   ; Narrow FM           ;      10000; AmateurRadio
   145330000; Chat                     ; Narrow FM           ;      10000; AmateurRadio
   162400000; SF Weather KHB49         ; WFM (mono)          ;      30000; PublicService
   462562500; FRS01                    ; Narrow FM           ;       5000; FamilyRadio
   462587500; FRS02                    ; Narrow FM           ;       5000; FamilyRadio
   462612500; FRS03                    ; Narrow FM           ;       5000; FamilyRadio
   462637500; FRS04                    ; Narrow FM           ;       5000; FamilyRadio
   462662500; FRS05                    ; Narrow FM           ;       5000; FamilyRadio
   462687500; FRS06                    ; Narrow FM           ;       5000; FamilyRadio
   462712500; FRS07                    ; Narrow FM           ;       5000; FamilyRadio
   467562500; FRS08                    ; Narrow FM           ;       5000; FamilyRadio
   467587500; FRS09                    ; Narrow FM           ;       5000; FamilyRadio
   467612500; FRS10                    ; Narrow FM           ;       5000; FamilyRadio
   467637500; FRS11                    ; Narrow FM           ;       5000; FamilyRadio
   467662500; FRS12                    ; Narrow FM           ;       5000; FamilyRadio
   467687500; FRS13                    ; Narrow FM           ;       5000; FamilyRadio
   467712500; FRS14                    ; Narrow FM           ;       5000; FamilyRadio
   462550000; FRS15                    ; Narrow FM           ;       5000; FamilyRadio
   462575000; FRS16                    ; Narrow FM           ;       5000; FamilyRadio
   462600000; FRS17                    ; Narrow FM           ;       5000; FamilyRadio
   462625000; FRS18                    ; Narrow FM           ;       5000; FamilyRadio
   462650000; FRS19                    ; Narrow FM           ;       5000; FamilyRadio
   462675000; FRS20                    ; Narrow FM           ;       5000; FamilyRadio
   462700000; FRS21                    ; Narrow FM           ;       5000; FamilyRadio
   462725000; FRS22                    ; Narrow FM           ;       5000; FamilyRadio
   151820000; MURS 151.820 MHz         ; WFM (mono)          ;      11250; MURS
   151880000; MURS 151.880 MHz         ; WFM (mono)          ;      11250; MURS
   151940000; MURS 151.940 MHz         ; WFM (mono)          ;      11250; MURS
   154570000; MURS 154.570 MHz         ; WFM (mono)          ;      20000; MURS
   154600000; MURS 154.600 MHz         ; WFM (mono)          ;      20000; MURS
